Species name,Clade name,wing length,tail length,tarsus length,middle toe length,bill length,bill width,bill depth,Neotropics,Afrotropics,Orient,Australasia,other region
Conopophaga aurita,suboscine,72.5,31.0,28.1,19.3,17.0,8.5,5.9,1,0,0,0,0
Conopophaga castaneiceps,suboscine,71.8,39.3,28.7,19.9,17.5,9.1,6.3,1,0,0,0,0
Conopophaga lineata,suboscine,74.0,41.5,30.3,20.0,17.1,8.1,6.3,1,0,0,0,0
Conopophaga melanogaster,suboscine,83.0,41.0,35.0,22.4,19.2,9.8,6.5,1,0,0,0,0
Conopophaga peruviana,suboscine,66.5,29.0,27.4,18.3,16.7,9.1,6.0,1,0,0,0,0
Conopophaga roberti,suboscine,72.0,37.0,28.5,17.6,16.1,8.0,5.9,1,0,0,0,0
Contopus caribaeus,suboscine,72.0,66.0,15.3,8.8,16.2,7.9,4.2,0,0,0,0,1
Contopus cinereus,suboscine,74.5,65.5,11.8,6.8,16.9,9.4,5.7,1,0,0,0,0
Contopus latirostris,suboscine,69.0,65.0,15.4,7.9,15.9,8.7,4.7,0,0,0,0,1
Contopus sordidulus,suboscine,85.0,64.0,13.2,8.1,16.4,8.7,5.3,1,0,0,0,1
Contopus virens,suboscine,84.0,63.0,13.4,8.3,13.8,6.7,4.5,0,0,0,0,1
Corapipo leucorrhoa,suboscine,59.0,30.0,15.9,9.4,10.1,7.9,4.5,1,0,0,0,0
Corydon sumatranus,suboscine,129.0,89.0,23.4,17.9,29.0,23.8,14.9,0,0,1,0,0
Coryphistera alaudina,suboscine,74.0,64.0,24.7,17.7,17.7,6.9,6.1,1,0,0,0,0
Corythopis torquatus,suboscine,67.0,38.0,26.1,14.2,16.7,7.0,5.7,1,0,0,0,0
Cotinga cayana,suboscine,113.0,79.0,19.3,14.0,20.6,9.9,6.0,1,0,0,0,0
Cotinga maynana,suboscine,110.0,75.0,19.7,13.8,19.3,10.3,6.0,1,0,0,0,0
Cranioleuca erythrops,suboscine,68.0,56.0,19.9,14.4,15.0,5.9,4.9,1,0,0,0,0
Cranioleuca subcristata,suboscine,68.0,70.0,18.1,13.9,15.7,5.1,4.7,1,0,0,0,0
Cymbilaimus lineatus,suboscine,77.5,66.0,24.1,16.2,24.2,10.5,9.6,1,0,0,0,0
Cymbirhynchus macrorhynchos,suboscine,104.0,87.0,22.0,15.6,25.6,15.8,13.2,0,0,1,0,0
Deconychura longicauda,suboscine,95.0,92.0,21.3,17.0,24.6,7.5,6.2,1,0,0,0,0
Dendrexetastes rufigula,suboscine,108.0,102.3,22.3,21.0,34.5,12.9,10.8,1,0,0,0,0
Dendrocincla anabatina,suboscine,96.0,72.0,23.5,16.1,25.0,7.8,7.7,1,0,0,0,0
Dendrocincla fuliginosa,suboscine,104.8,82.2,23.4,17.2,29.1,9.0,7.3,1,0,0,0,0
Dendrocincla homochroa,suboscine,99.0,75.0,25.5,16.4,26.1,8.9,6.9,1,0,0,0,0
Dendrocincla merula,suboscine,103.0,66.0,20.9,16.4,26.7,5.8,6.7,1,0,0,0,0
Dendrocolaptes certhia,suboscine,127.0,112.0,30.0,21.8,40.0,10.8,9.5,1,0,0,0,0
Dendrocolaptes picumnus,suboscine,135.0,118.3,28.4,20.5,40.0,9.9,8.6,1,0,0,0,0
Dendroplex picus,suboscine,102.0,83.9,21.4,17.2,29.6,9.5,7.7,1,0,0,0,0
Dichrozona cincta,suboscine,61.0,22.0,20.5,14.7,17.6,6.5,5.6,1,0,0,0,0
Drymornis bridgesii,suboscine,136.0,116.0,36.1,24.6,79.5,11.3,10.5,1,0,0,0,0
Dysithamnus puncticeps,suboscine,58.5,38.5,19.6,13.7,18.0,8.1,6.6,1,0,0,0,0
Elaenia albiceps,suboscine,81.0,67.0,13.0,10.0,11.8,8.6,5.6,1,0,0,0,0
Elaenia chiriquensis,suboscine,73.0,61.0,15.2,8.7,13.1,8.9,5.7,1,0,0,0,0
Elaenia fallax,suboscine,68.0,63.0,18.7,10.3,12.1,7.8,4.9,0,0,0,0,1
Elaenia flavogaster,suboscine,80.5,70.0,18.9,12.0,13.9,9.6,5.8,1,0,0,0,1
Elaenia martinica,suboscine,78.0,68.0,20.5,12.4,14.6,7.2,4.9,0,0,0,0,1
Empidonax atriceps,suboscine,59.0,50.0,16.0,8.9,11.6,5.7,3.5,1,0,0,0,0
Empidonax minimus,suboscine,74.0,58.0,15.0,9.0,12.6,6.2,4.5,0,0,0,0,1
Empidonax traillii,suboscine,69.0,57.0,16.5,9.6,15.5,8.2,5.4,0,0,0,0,1
Empidonax virescens,suboscine,74.0,58.0,15.0,9.0,12.6,6.2,4.5,0,0,0,0,1
Epinecrophylla erythrura,suboscine,52.3,42.0,15.4,11.1,15.1,5.6,4.9,1,0,0,0,0
Epinecrophylla fulviventris,suboscine,50.8,31.5,16.1,11.8,15.9,6.3,5.0,1,0,0,0,0
Epinecrophylla haematonota,suboscine,52.0,38.5,15.4,13.7,14.7,6.4,5.2,1,0,0,0,0
Epinecrophylla leucophthalma,suboscine,52.5,41.5,15.6,13.0,15.4,6.3,4.8,1,0,0,0,0
Epinecrophylla ornata,suboscine,51.5,33.3,15.8,11.9,16.2,5.8,4.9,1,0,0,0,0
Eugralla paradoxa,suboscine,60.5,47.5,23.8,19.9,16.0,6.4,7.3,1,0,0,0,0
Eurylaimus javanicus,suboscine,108.0,61.0,22.8,16.2,29.7,18.7,11.2,0,0,1,0,0
Eurylaimus ochromalus,suboscine,82.0,47.0,18.8,12.8,20.3,13.6,8.0,0,0,1,0,0
Euscarthmus meloryphus,suboscine,44.0,35.0,19.9,9.9,14.0,5.1,4.0,1,0,0,0,0
Fluvicola pica,suboscine,62.0,44.0,20.0,17.7,16.4,7.3,4.2,1,0,0,0,0
Formicarius analis,suboscine,93.5,51.5,32.2,20.3,24.6,8.8,7.1,1,0,0,0,0
Formicarius colma,suboscine,88.0,51.0,29.0,16.0,21.5,6.2,5.7,1,0,0,0,0
Formicivora grisea,suboscine,54.0,45.0,20.2,8.8,15.7,5.2,4.8,1,0,0,0,0
Frederickena unduligera,suboscine,109.0,87.0,18.4,11.0,29.8,8.5,10.7,1,0,0,0,0
Furnarius leucopus,suboscine,99.0,60.0,34.4,19.4,28.2,5.9,5.3,1,0,0,0,0
Furnarius rufus,suboscine,98.0,71.0,31.4,18.1,24.1,7.2,5.9,1,0,0,0,0
Geositta antarctica,suboscine,107.0,63.0,21.1,14.3,17.4,6.1,4.8,1,0,0,0,0
Geositta crassirostris,suboscine,92.0,56.0,26.9,19.8,31.3,8.6,7.6,1,0,0,0,0
Geositta cunicularia,suboscine,98.5,54.5,21.5,13.2,22.3,6.7,4.9,1,0,0,0,0
Geositta isabellina,suboscine,122.8,71.3,21.0,16.0,23.0,7.0,5.9,1,0,0,0,0
Geositta peruviana,suboscine,81.0,48.0,20.4,12.9,17.7,5.8,4.4,1,0,0,0,0
Geositta punensis,suboscine,91.0,53.0,20.5,13.1,19.4,6.0,5.0,1,0,0,0,0
Geositta rufipennis,suboscine,106.0,66.5,24.7,18.3,18.1,7.2,5.4,1,0,0,0,0
Geositta tenuirostris,suboscine,107.0,57.7,22.3,14.7,31.9,6.5,5.4,1,0,0,0,0
Glyphorynchus spirurus,suboscine,70.7,62.7,15.3,9.5,12.9,5.6,4.3,1,0,0,0,0
Grallaria guatimalensis,suboscine,105.0,34.0,41.8,25.3,25.0,11.5,10.8,1,0,0,0,0
Grallaria haplonota,suboscine,107.0,41.0,43.6,27.0,26.6,11.2,10.5,1,0,0,0,0
Grallaria nuchalis,suboscine,138.0,66.0,63.0,38.0,30.7,13.6,13.0,1,0,0,0,0
Grallaria quitensis,suboscine,98.0,50.0,46.9,27.0,25.3,10.4,8.8,1,0,0,0,0
Grallaria ruficapilla,suboscine,98.3,51.8,52.8,30.9,27.8,11.0,9.8,1,0,0,0,0
Grallaricula cucullata,suboscine,68.0,29.0,25.5,17.3,15.7,7.0,5.9,1,0,0,0,0
Grallaricula loricata,suboscine,70.0,21.0,23.7,15.8,16.0,7.5,5.4,1,0,0,0,0
Grallaricula nana,suboscine,67.0,32.0,30.7,18.8,16.5,6.2,5.7,1,0,0,0,0
Gymnoderus foetidus,suboscine,190.0,144.5,30.6,33.2,32.4,17.3,13.3,1,0,0,0,0
Gymnopithys leucaspis,suboscine,76.7,47.3,26.4,16.9,20.1,7.1,5.6,1,0,0,0,0
Gymnopithys salvini,suboscine,74.0,44.5,25.5,19.8,20.9,8.3,7.0,1,0,0,0,0
Heliobletus contaminatus,suboscine,65.0,51.0,19.0,15.7,14.5,5.5,4.7,1,0,0,0,0
Hemitriccus margaritaceiventer,suboscine,59.0,49.0,17.7,8.3,11.6,5.6,4.0,1,0,0,0,0
Hemitriccus diops,suboscine,57.0,49.5,17.8,10.5,12.5,7.0,3.6,1,0,0,0,0
Hemitriccus flammulatus,suboscine,53.0,40.0,17.1,7.7,14.6,6.1,3.4,1,0,0,0,0
Hemitriccus zosterops,suboscine,49.0,42.0,14.6,8.2,12.9,6.8,3.7,1,0,0,0,0
Hirundinea ferruginea,suboscine,112.0,72.0,11.9,14.1,21.4,11.1,5.0,1,0,0,0,0
Hyloctistes subulatus,suboscine,80.0,68.0,19.3,14.4,24.7,7.1,6.6,1,0,0,0,0
Hylopezus perspicillatus,suboscine,81.2,28.2,36.1,18.6,21.6,9.7,7.3,1,0,0,0,0
Hylophylax naevioides,suboscine,63.0,34.0,22.4,14.6,17.8,5.1,7.3,1,0,0,0,0
Hylophylax naevius,suboscine,70.5,41.0,23.6,16.9,18.8,7.5,6.1,1,0,0,0,0
Hypocnemis cantator,suboscine,57.0,39.7,18.7,10.6,17.2,5.4,4.3,1,0,0,0,0
Hypoedaleus guttatus,suboscine,89.0,100.0,27.3,17.7,27.2,12.6,11.7,1,0,0,0,0
Inezia tenuirostris,suboscine,45.0,37.0,15.9,7.9,10.9,4.3,3.3,1,0,0,0,0
Iodopleura isabellae,suboscine,75.0,35.0,12.6,8.1,10.8,7.2,4.3,1,0,0,0,0
Laniocera hypopyrra,suboscine,110.0,86.0,18.7,10.9,19.5,7.4,6.7,1,0,0,0,0
Lathrotriccus euleri,suboscine,63.3,56.7,13.6,7.0,14.8,7.3,4.4,1,0,0,0,1
Legatus leucophaius,suboscine,81.8,58.8,14.9,10.5,13.9,8.9,5.3,1,0,0,0,0
Lepidocolaptes albolineatus,suboscine,98.0,83.0,17.3,18.2,30.8,9.5,6.9,1,0,0,0,0
Lepidocolaptes souleyetii,suboscine,96.0,82.0,19.0,14.8,30.3,3.3,5.7,1,0,0,0,0
Lepidothrix coronata,suboscine,59.0,26.0,13.8,8.4,10.9,5.1,3.6,1,0,0,0,0
Leptasthenura aegithaloides,suboscine,59.0,89.0,14.8,8.5,11.6,4.8,4.6,1,0,0,0,0
Leptasthenura pileata,suboscine,67.0,90.0,21.4,12.4,12.6,4.1,4.0,1,0,0,0,0
Leptopogon amaurocephalus,suboscine,67.0,58.0,15.5,6.8,15.2,4.7,4.0,1,0,0,0,0
Leptopogon superciliaris,suboscine,65.0,56.0,14.8,8.4,14.3,7.3,4.9,1,0,0,0,0
Limnornis curvirostris,suboscine,73.0,71.0,27.0,20.8,24.0,6.4,6.4,1,0,0,0,0
Liosceles thoracicus,suboscine,73.0,75.0,26.9,16.8,21.4,5.7,6.3,1,0,0,0,0
Lipaugus uropygialis,suboscine,142.0,127.0,31.6,26.3,28.1,15.8,11.0,1,0,0,0,0
Lipaugus vociferans,suboscine,122.0,104.3,20.5,14.2,23.8,12.5,8.0,1,0,0,0,0
Lochmias nematura,suboscine,64.0,41.0,22.1,17.1,19.0,5.7,4.8,1,0,0,0,0
Lophotriccus pileatus,suboscine,51.0,36.5,13.8,5.7,12.4,5.8,4.2,1,0,0,0,0
Lophotriccus vitiosus,suboscine,51.0,38.0,14.8,6.5,12.2,4.6,3.0,1,0,0,0,0
Manacus candei,suboscine,55.0,36.0,21.3,12.0,12.8,8.5,4.3,1,0,0,0,0
Manacus manacus,suboscine,55.0,34.0,17.3,11.3,13.4,10.3,5.7,1,0,0,0,0
Manacus vitellinus,suboscine,53.0,30.0,20.2,11.6,12.9,9.3,4.6,1,0,0,0,0
Margarornis squamiger,suboscine,75.0,64.0,19.9,16.8,15.4,5.6,4.6,1,0,0,0,0
Megarynchus pitangua,suboscine,120.4,86.4,18.8,14.3,32.8,15.4,10.9,1,0,0,0,0
Microrhopias quixensis,suboscine,49.5,44.5,15.6,9.7,15.3,6.5,4.0,1,0,0,0,0
Mionectes oleagineus,suboscine,60.3,46.3,15.1,9.4,14.8,7.7,4.8,1,0,0,0,0
Mionectes olivaceus,suboscine,65.0,49.5,16.1,11.5,14.3,7.0,4.3,1,0,0,0,0
Muscigralla brevicauda,suboscine,59.0,34.0,23.3,13.3,15.9,7.7,6.7,1,0,0,0,0
Myiarchus cinerascens,suboscine,98.0,90.0,22.7,12.9,16.8,10.4,7.0,1,0,0,0,1
Myiarchus crinitus,suboscine,105.0,89.0,20.5,12.9,19.0,8.8,6.6,0,0,0,0,1
Myiarchus ferox,suboscine,89.8,86.0,21.8,11.9,22.6,9.9,6.5,1,0,0,0,0
Myiarchus magnirostris,suboscine,69.0,62.0,21.4,10.0,15.2,6.4,4.1,0,0,0,0,1
Myiarchus stolidus,suboscine,84.0,79.0,21.0,12.3,23.9,10.7,6.5,0,0,0,0,1
Myiarchus swainsoni,suboscine,94.5,82.5,20.3,10.8,22.3,8.4,6.2,1,0,0,0,0
Myiarchus tuberculifer,suboscine,79.0,73.0,18.8,10.3,20.6,9.4,6.0,1,0,0,0,1
Myiarchus tyrannulus,suboscine,103.5,92.5,25.2,15.2,25.0,10.6,6.9,1,0,0,0,1
Myiarchus validus,suboscine,102.0,94.0,23.5,14.2,26.4,10.7,7.6,0,0,0,0,1
Myiobius barbatus,suboscine,63.0,51.0,16.5,8.8,14.8,6.4,3.4,1,0,0,0,0
Myiobius sulphureipygius,suboscine,64.0,53.0,17.4,9.6,13.3,7.8,3.4,1,0,0,0,0
Myiodynastes luteiventris,suboscine,114.0,80.5,18.6,13.4,24.9,12.3,8.4,1,0,0,0,0
Myiodynastes maculatus,suboscine,109.0,87.0,19.9,14.0,27.8,14.1,9.7,1,0,0,0,0
Myiopagis caniceps,suboscine,58.0,49.0,17.6,7.6,11.5,4.8,3.3,1,0,0,0,0
Myiopagis gaimardii,suboscine,60.0,55.0,16.2,7.6,12.2,6.3,4.0,1,0,0,0,0
Myiopagis viridicata,suboscine,66.0,60.0,18.0,9.6,12.0,5.0,3.8,1,0,0,0,0
Myiophobus fasciatus,suboscine,55.0,49.0,16.1,8.9,12.5,7.1,4.4,1,0,0,0,0
Myiornis atricapillus,suboscine,35.0,15.5,13.0,7.9,12.1,5.5,4.0,1,0,0,0,0
Myiornis ecaudatus,suboscine,34.0,14.0,11.7,5.8,11.4,4.4,2.8,1,0,0,0,0
Myiozetetes granadensis,suboscine,89.0,70.7,17.1,11.2,16.6,7.8,5.1,1,0,0,0,0
Myiozetetes similis,suboscine,91.2,71.8,17.7,11.2,16.6,8.4,5.6,1,0,0,0,0
Myornis senilis,suboscine,63.0,58.5,22.6,19.7,16.5,6.7,5.8,1,0,0,0,0
Myrmeciza exsul,suboscine,67.0,46.0,28.3,17.9,21.6,8.8,6.1,1,0,0,0,0
Myrmeciza fortis,suboscine,86.5,71.0,35.1,23.4,23.5,10.9,7.9,1,0,0,0,0
Myrmeciza goeldii,suboscine,89.0,76.0,33.3,23.2,25.6,11.0,8.6,1,0,0,0,0
Myrmeciza hemimelaena,suboscine,57.0,38.0,21.8,12.8,16.6,5.2,4.2,1,0,0,0,0
Myrmeciza hyperythra,suboscine,81.0,54.0,29.3,21.2,26.1,9.9,8.0,1,0,0,0,0
Myrmeciza longipes,suboscine,70.0,53.0,28.8,17.5,22.0,8.1,5.8,1,0,0,0,0
Myrmeciza melanoceps,suboscine,90.0,74.0,33.6,17.4,24.6,7.6,7.0,1,0,0,0,0
Myrmoborus leucophrys,suboscine,68.0,45.0,23.8,14.6,18.6,5.8,5.2,1,0,0,0,0
Myrmoborus myotherinus,suboscine,65.5,40.5,26.0,18.8,18.5,7.9,6.3,1,0,0,0,0
Myrmornis torquata,suboscine,96.0,39.0,24.4,21.2,25.3,8.9,7.5,1,0,0,0,0
Myrmothera campanisona,suboscine,82.0,36.0,38.8,19.7,21.2,7.8,6.9,1,0,0,0,0
Myrmotherula ambigua,suboscine,40.5,22.5,15.4,10.3,15.8,5.6,4.0,1,0,0,0,0
Myrmotherula assimilis,suboscine,52.5,26.5,15.8,11.5,16.0,6.1,4.8,1,0,0,0,0
Myrmotherula axillaris,suboscine,53.7,36.3,15.0,9.1,15.5,5.3,3.9,1,0,0,0,0
Myrmotherula behni,suboscine,55.0,28.5,15.7,11.8,14.7,5.7,4.5,1,0,0,0,0
Myrmotherula brachyura,suboscine,45.4,18.0,16.0,8.5,14.7,4.8,3.5,1,0,0,0,0
Myrmotherula cherriei,suboscine,54.0,32.5,17.3,12.1,16.6,6.7,4.8,1,0,0,0,0
Myrmotherula guttata,suboscine,51.5,25.0,18.4,13.3,16.0,6.8,4.5,1,0,0,0,0
Myrmotherula gutturalis,suboscine,52.0,38.0,15.9,13.7,15.6,6.3,5.2,1,0,0,0,0
Myrmotherula hauxwelli,suboscine,54.5,22.5,19.1,13.6,15.3,6.6,5.1,1,0,0,0,0
Myrmotherula iheringi,suboscine,51.5,28.0,15.7,11.6,14.4,6.2,4.5,1,0,0,0,0
Myrmotherula klagesi,suboscine,48.0,26.0,15.1,10.7,14.0,5.9,4.4,1,0,0,0,0
Myrmotherula longicauda,suboscine,48.8,34.3,17.3,10.5,15.0,5.7,4.1,1,0,0,0,0
Myrmotherula longipennis,suboscine,59.5,33.5,14.6,10.2,15.3,6.8,4.3,1,0,0,0,0
Myrmotherula menetriesii,suboscine,54.5,27.5,15.5,9.2,16.1,5.3,4.0,1,0,0,0,0
Myrmotherula schisticolor,suboscine,57.0,34.3,16.0,10.6,13.6,5.1,4.2,1,0,0,0,0
Myrmotherula sclateri,suboscine,47.0,23.0,16.3,11.4,17.8,6.1,4.5,1,0,0,0,0
Myrmotherula sunensis,suboscine,52.0,24.5,14.6,11.9,13.9,6.1,4.8,1,0,0,0,0
Myrmotherula surinamensis,suboscine,51.0,25.5,17.0,11.1,16.4,6.2,4.3,1,0,0,0,0
Myrmotherula unicolor,suboscine,50.0,32.0,15.7,11.7,13.9,5.3,4.7,1,0,0,0,0
Nasica longirostris,suboscine,138.0,132.0,29.0,22.3,72.0,13.2,9.9,1,0,0,0,0
Neodrepanis coruscans,suboscine,51.0,19.0,15.0,10.4,25.0,4.6,4.0,0,0,0,0,1
Neodrepanis hypoxantha,suboscine,49.0,21.0,14.8,10.5,21.8,6.3,4.3,0,0,0,0,1
Oncostoma cinereigulare,suboscine,48.3,36.7,14.8,7.6,13.0,6.3,3.6,1,0,0,0,0
Oncostoma olivaceum,suboscine,45.0,30.0,15.3,8.5,13.8,5.1,3.8,1,0,0,0,0
Onychorhynchus coronatus,suboscine,77.0,63.5,15.1,13.6,23.8,9.6,4.9,1,0,0,0,0
Ornithion brunneicapillus,suboscine,45.0,25.3,12.4,9.1,9.9,5.1,4.0,1,0,0,0,0
Ornithion inerme,suboscine,43.0,31.0,14.0,9.6,9.7,5.3,3.5,1,0,0,0,0
Oxyruncus cristatus,suboscine,94.5,59.0,21.2,15.8,17.4,9.5,7.1,1,0,0,0,0
Pachyramphus albogriseus,suboscine,76.0,57.0,22.0,13.4,15.6,9.7,6.0,1,0,0,0,0
Pachyramphus homochrous,suboscine,91.0,90.0,21.7,14.6,19.5,10.1,7.5,1,0,0,0,0
Pachyramphus marginatus,suboscine,62.0,44.0,17.7,10.7,14.6,9.1,6.5,1,0,0,0,0
Pachyramphus minor,suboscine,90.0,61.0,19.7,13.9,18.8,10.5,8.4,1,0,0,0,0
Pachyramphus polychopterus,suboscine,70.0,52.0,17.7,11.2,15.7,9.9,6.2,1,0,0,0,0
Pachyramphus rufus,suboscine,97.0,66.0,21.2,18.1,20.3,11.8,9.4,1,0,0,0,0
Pachyramphus versicolor,suboscine,63.0,45.0,15.4,12.7,12.8,6.9,5.0,1,0,0,0,0
Pachyramphus viridis,suboscine,57.0,56.0,18.0,13.2,15.8,8.9,5.7,1,0,0,0,0
Percnostola rufifrons,suboscine,75.5,54.5,30.1,21.0,22.1,8.8,7.0,1,0,0,0,0
Perissocephalus tricolor,suboscine,218.5,111.5,44.7,43.8,50.9,26.3,19.6,1,0,0,0,0
Phacellodomus ruber,suboscine,73.0,88.0,24.3,19.7,22.1,7.9,7.1,1,0,0,0,0
Phacellodomus striaticeps,suboscine,61.0,78.0,20.8,18.1,20.1,6.4,5.6,1,0,0,0,0
Phaenostictus mcleannani,suboscine,85.0,82.0,31.8,20.0,23.1,10.1,8.3,1,0,0,0,0
Phaeomyias murina,suboscine,55.0,49.0,19.1,9.1,13.4,6.0,4.2,1,0,0,0,0
Philepitta castanea,suboscine,81.0,38.0,23.0,23.1,20.1,9.7,5.5,0,0,0,0,1
Philepitta schlegeli,suboscine,76.0,34.0,17.8,16.7,15.6,8.8,6.0,0,0,0,0,1
Philydor erythrocercum,suboscine,90.5,66.0,19.3,11.2,20.6,6.1,6.2,1,0,0,0,0
Philydor erythropterum,suboscine,89.0,75.0,21.1,16.9,20.9,8.8,8.1,1,0,0,0,0
Philydor pyrrhodes,suboscine,79.0,62.0,19.4,13.8,20.0,5.6,5.8,1,0,0,0,0
Philydor ruficaudatum,suboscine,94.5,73.5,18.4,13.9,18.8,5.7,6.0,1,0,0,0,0
Phlegopsis nigromaculata,suboscine,91.7,61.0,28.8,19.3,22.9,7.2,6.7,1,0,0,0,0
Phleocryptes melanops,suboscine,61.0,51.0,22.6,15.5,19.3,5.1,5.0,1,0,0,0,0
Phytotoma rara,suboscine,93.0,79.0,21.5,15.6,17.2,11.7,11.0,1,0,0,0,0
Pipra chloromeros,suboscine,61.0,27.5,14.9,12.7,12.2,7.7,4.5,1,0,0,0,0
Pipra cornuta,suboscine,58.0,26.0,13.3,7.6,10.9,4.8,3.4,1,0,0,0,0
Pipra erythrocephala,suboscine,59.5,18.0,13.5,8.9,11.6,7.7,4.5,1,0,0,0,0
Pipra fasciicauda,suboscine,66.0,28.0,15.0,8.9,13.0,6.0,4.3,1,0,0,0,0
Pipra filicauda,suboscine,66.0,36.0,14.5,8.3,13.0,6.2,4.3,1,0,0,0,0
Pipra mentalis,suboscine,60.0,30.0,15.0,10.0,11.9,9.0,4.3,1,0,0,0,0
Pipra pipra,suboscine,68.0,33.0,14.4,8.6,11.4,5.5,3.9,1,0,0,0,0
Piprites chloris,suboscine,68.7,47.3,16.1,9.0,12.6,6.5,5.0,1,0,0,0,0
Pitangus sulphuratus,suboscine,115.5,86.5,24.2,15.5,29.0,15.1,10.6,1,0,0,0,1
Pitta cyanea,suboscine,113.0,48.5,42.9,27.9,27.8,11.1,9.0,0,0,1,0,0
Pitta elliotii,suboscine,104.5,44.5,36.3,24.8,26.3,8.8,9.1,0,0,1,0,0
Pitta erythrogaster,suboscine,106.0,34.0,35.1,22.6,25.5,8.6,9.2,0,0,1,1,0
Pitta granatina,suboscine,93.0,35.0,37.6,17.6,26.0,8.0,7.9,0,0,1,0,0
Pitta kochi,suboscine,120.0,37.0,48.1,28.4,28.2,12.2,11.9,0,0,1,0,0
Pitta phayrei,suboscine,104.0,47.5,30.7,29.3,35.2,10.2,9.4,0,0,1,0,0
Pitta reichenowi,suboscine,115.8,42.0,35.0,21.3,24.4,8.3,8.1,0,1,0,0,0
Pitta sordida,suboscine,104.0,33.5,36.5,24.8,24.0,10.2,9.5,0,0,1,0,0
Pittasoma rufopileatum,suboscine,100.0,26.0,45.8,29.9,28.9,11.9,10.5,1,0,0,0,0
Platyrinchus coronatus,suboscine,53.0,21.5,11.8,7.7,12.7,8.1,3.9,1,0,0,0,0
Platyrinchus platyrhynchos,suboscine,65.0,40.5,13.3,11.2,14.0,12.4,4.1,1,0,0,0,0
Poecilotriccus plumbeiceps,suboscine,44.0,36.0,18.4,10.8,14.3,5.3,3.8,1,0,0,0,0
Poecilotriccus ruficeps,suboscine,51.3,37.8,19.5,11.3,12.1,5.5,3.7,1,0,0,0,0
Porphyrolaema porphyrolaema,suboscine,97.0,69.0,16.7,10.9,17.0,10.2,6.4,1,0,0,0,0
Premnoplex brunnescens,suboscine,65.0,61.0,20.6,13.4,17.1,6.5,5.1,1,0,0,0,0
Procnias averano,suboscine,151.0,87.0,26.0,18.7,29.6,25.1,9.6,1,0,0,0,0
Pseudocolaptes boissonneautii,suboscine,92.0,91.0,25.5,15.0,29.6,7.8,6.8,1,0,0,0,0
Pseudoseisura gutturalis,suboscine,107.0,93.0,32.1,24.1,27.3,10.5,10.0,1,0,0,0,0
Pseudoseisura lophotes,suboscine,139.0,106.0,35.8,24.7,28.5,9.9,8.8,1,0,0,0,0
Psilorhamphus guttatus,suboscine,48.0,55.0,23.9,15.3,15.5,5.4,4.2,1,0,0,0,0
Pteroptochos megapodius,suboscine,104.0,76.0,41.7,21.3,23.3,11.1,9.7,1,0,0,0,0
Pygiptila stellaris,suboscine,78.5,39.0,33.8,10.7,22.5,7.9,6.7,1,0,0,0,0
Pyrocephalus rubinus,suboscine,72.3,54.7,16.1,9.4,17.8,6.8,4.4,1,0,0,0,1
Querula purpurata,suboscine,181.3,115.0,23.0,18.0,28.2,16.6,10.5,1,0,0,0,0
Ramphotrigon ruficauda,suboscine,78.3,75.0,15.8,10.0,16.7,9.7,5.9,1,0,0,0,0
Rhegmatorhina melanosticta,suboscine,79.0,59.0,28.8,19.3,19.8,8.6,6.1,1,0,0,0,0
Rhinocrypta lanceolata,suboscine,86.0,82.0,30.6,19.5,18.7,8.4,7.3,1,0,0,0,0
Rhynchocyclus olivaceus,suboscine,75.3,66.7,18.6,12.5,16.5,11.5,5.8,1,0,0,0,0
Rhytipterna holerythra,suboscine,104.0,88.0,22.8,13.5,22.6,11.1,7.0,1,0,0,0,0
Rhytipterna simplex,suboscine,101.3,93.3,20.0,11.5,23.3,8.7,6.5,1,0,0,0,0
Roraimia adusta,suboscine,68.0,61.0,21.0,14.9,15.6,5.6,4.2,1,0,0,0,0
Sakesphorus bernardi,suboscine,78.0,60.0,27.9,15.7,24.6,9.1,9.2,1,0,0,0,0
Sakesphorus melanonotus,suboscine,72.0,62.0,24.3,10.6,20.8,7.8,8.4,1,0,0,0,0
Sapayoa aenigma,suboscine,82.3,56.3,12.0,11.3,17.5,11.6,5.6,1,0,0,0,0
Sayornis phoebe,suboscine,89.5,71.0,18.8,12.2,18.7,7.8,5.5,0,0,0,0,1
Scelorchilus rubecula,suboscine,75.0,56.0,35.8,23.1,19.1,7.3,6.2,1,0,0,0,0
Schiffornis major,suboscine,84.0,59.0,19.7,15.0,15.8,8.1,6.4,1,0,0,0,0
Schiffornis turdina,suboscine,90.5,63.3,21.5,14.6,16.5,7.2,6.3,1,0,0,0,0
Schiffornis virescens,suboscine,81.0,60.0,22.4,17.1,15.9,6.9,6.2,1,0,0,0,0
Schizoeaca coryi,suboscine,55.0,71.0,22.5,15.5,14.2,5.8,4.3,1,0,0,0,0
Schoeniophylax phryganophilus,suboscine,62.0,120.0,23.7,15.5,17.1,7.1,6.6,1,0,0,0,0
Sclerurus albigularis,suboscine,77.0,55.0,19.9,17.7,24.0,6.5,5.5,1,0,0,0,0
Sclerurus caudacutus,suboscine,94.0,61.0,21.6,16.6,23.5,5.5,5.0,1,0,0,0,0
Sclerurus guatemalensis,suboscine,92.0,57.0,22.5,16.7,25.1,8.1,5.4,1,0,0,0,0
Sclerurus mexicanus,suboscine,82.0,59.0,22.6,19.4,27.1,6.8,5.3,1,0,0,0,0
